Time,Iterations
0.00160879,100
0.00209415,200
0.00247609,300
0.00285977,400
0.00324181,500
0.00362281,600
0.00404456,700
0.00442717,800
0.00480768,900
0.00518949,1000
0.00557076,1100
0.0059517,1200
0.0063327,1300
0.00671289,1400
0.00709259,1500
0.00747303,1600
0.00786056,1700
0.00824309,1800
0.00862381,1900
0.00900517,2000
0.00938609,2100
0.00976663,2200
0.010147,2300
0.0105275,2400
0.0109072,2500
0.0112886,2600
0.01167,2700
0.0120548,2800
0.012436,2900
0.0128168,3000
0.0131978,3100
0.013578,3200
0.0139562,3300
0.0143329,3400
0.014693,3500
0.0150504,3600
0.0153943,3700
0.0157337,3800
0.0160548,3900
0.0163623,4000
0.0166487,4100
0.0169354,4200
0.0172217,4300
0.0174836,4400
0.0177425,4500
0.0180001,4600
0.0182576,4700
0.0185045,4800
0.0187513,4900
0.0189979,5000
0.0192445,5100
0.0194919,5200
0.0197417,5300
0.0199902,5400
0.0202374,5500
0.0204848,5600
0.0207316,5700
0.0209786,5800
0.0212247,5900
0.0214718,6000
0.0217191,6100
0.0219657,6200
0.0222123,6300
0.0224597,6400
0.022707,6500
0.0229539,6600
0.0232008,6700
0.0234476,6800
0.0236971,6900
0.0239439,7000
0.0241901,7100
0.0244377,7200
0.0246865,7300
0.0249337,7400
0.0251815,7500
0.0254294,7600
0.0256774,7700
0.0259249,7800
0.0261733,7900
0.0264208,8000
0.0266681,8100
0.0269153,8200
0.0271629,8300
0.0274108,8400
0.0276596,8500
0.0279157,8600
0.0281651,8700
0.0284131,8800
0.028661,8900
0.0289093,9000
0.029158,9100
0.0294075,9200
0.0296554,9300
0.0299026,9400
0.0301499,9500
0.0303982,9600
0.0306465,9700
0.0308945,9800
0.0311424,9900
0.0333048,10000
