Time,Iterations
0.000696351,100
0.0008768,200
0.00102524,300
0.00113875,400
0.00121579,500
0.00127693,600
0.00133446,700
0.00140039,800
0.00146597,900
0.00152937,1000
0.00159202,1100
0.00165528,1200
0.00171701,1300
0.00177939,1400
0.00184937,1500
0.00192505,1600
0.0020027,1700
0.00207938,1800
0.00215454,1900
0.00222954,2000
0.00230474,2100
0.00237952,2200
0.0024539,2300
0.00252794,2400
0.00260617,2500
0.00268217,2600
0.00275657,2700
0.00283194,2800
0.00290713,2900
0.00298122,3000
0.0030562,3100
0.00312929,3200
0.00320484,3300
0.00328063,3400
0.00335465,3500
0.00342732,3600
0.0035004,3700
0.00357352,3800
0.00364621,3900
0.00372024,4000
0.00379292,4100
0.00386898,4200
0.00394176,4300
0.00401708,4400
0.00409802,4500
0.00416634,4600
0.0042341,4700
0.00430727,4800
0.00437507,4900
0.00444666,5000
0.0045147,5100
0.00458281,5200
0.0046514,5300
0.0047211,5400
0.00478999,5500
0.0048583,5600
0.00492664,5700
0.0049962,5800
0.00506473,5900
0.0051319,6000
0.00519983,6100
0.005269,6200
0.00533807,6300
0.00540624,6400
0.00547406,6500
0.00554677,6600
0.00561734,6700
0.00568581,6800
0.0057541,6900
0.00582275,7000
0.005891,7100
0.00595773,7200
0.00602459,7300
0.00609201,7400
0.00616086,7500
0.00622827,7600
0.00629527,7700
0.00636344,7800
0.00643018,7900
0.0064998,8000
0.00656639,8100
0.006633,8200
0.00670214,8300
0.00676909,8400
0.00683688,8500
0.00690999,8600
0.00697894,8700
0.00704708,8800
0.00711678,8900
0.00718579,9000
0.0072575,9100
0.00732681,9200
0.00739671,9300
0.0074662,9400
0.00753606,9500
0.00760504,9600
0.00767367,9700
0.0077427,9800
0.00781353,9900
0.00788542,10000
